Disease,Medicines,Home_Remedies,First_Aid
(vertigo) Paroymsal  Positional Vertigo,Consult Doctor,Healthy diet,Seek medical help
AIDS,Tenofovir; Lamivudine; Efavirenz,Balanced diet; Proper hygiene,Seek medical care; Manage infections early
Acne,Benzoyl Peroxide; Clindamycin gel; Isotretinoin,Aloe vera; Honey mask,Clean face gently
Alcoholic hepatitis,Consult Doctor,Healthy diet,Seek medical help
Allergy,Cetirizine; Loratadine; Fexofenadine,Avoid allergens; Honey with warm water; Steam inhalation,Remove allergen source; Take antihistamine; Seek help if severe
Arthritis,Methotrexate; Ibuprofen,Turmeric; Warm compress,Rest affected joint
Bronchial Asthma,Salbutamol; Budesonide; Montelukast,Steam inhalation; Ginger tea; Avoid dust,Use inhaler; Sit upright; Calm breathing
Cervical spondylosis,Ibuprofen; Diclofenac; Cyclobenzaprine,Neck exercises; Warm compress,Rest neck; Avoid sudden movements
Chicken pox,Acyclovir; Paracetamol,Oatmeal bath; Neem leaves bath,Calamine lotion; Keep skin clean
Chronic cholestasis,Ursodeoxycholic Acid; Cholestyramine,Avoid fatty foods; Maintain hydration,Seek medical help; Monitor jaundice symptoms
Common Cold,Paracetamol; Phenylephrine; Cetirizine,Ginger tea; Honey; Steam inhalation,Rest; Hydration
Dengue,Paracetamol; ORS,Papaya leaf juice; Coconut water,Hydration; Monitor platelet levels
Diabetes ,Consult Doctor,Healthy diet,Seek medical help
Dimorphic hemmorhoids(piles),Consult Doctor,Healthy diet,Seek medical help
Drug Reaction,Prednisolone; Diphenhydramine; Epinephrine (severe),Stop suspected drug; Cool compress,Discontinue drug; Take antihistamine; Emergency help if severe
Fungal infection,Clotrimazole; Fluconazole; Ketoconazole,Keep skin dry; Apply coconut oil; Use neem water wash,Clean affected area; Keep dry; Apply antifungal cream
GERD,Omeprazole; Pantoprazole; Ranitidine,Ginger tea; Smaller meals; Avoid spicy foods,Sit upright; Avoid lying down after meals
Gastroenteritis,Oral Rehydration Salts; Ondansetron; Loperamide,Rice water; Banana; Coconut water,Hydration with ORS; Rest
Heart attack,Aspirin; Nitroglycerin; Atorvastatin,Healthy diet; Avoid smoking,Call emergency; Give aspirin if advised
Hepatitis B,Tenofovir; Entecavir,Balanced diet; Hydration,Seek medical monitoring
Hepatitis C,Sofosbuvir; Ribavirin,Healthy diet; Avoid alcohol,Consult specialist
Hepatitis D,Consult Doctor,Healthy diet,Seek medical help
Hepatitis E,Consult Doctor,Healthy diet,Seek medical help
Hypertension ,Consult Doctor,Healthy diet,Seek medical help
Hyperthyroidism,Methimazole; Propylthiouracil,Avoid excess iodine,Seek endocrinologist
Hypoglycemia,Glucose tablets; Dextrose,Sugar candy; Fruit juice,Give fast sugar immediately
Hypothyroidism,Levothyroxine,Iodine rich foods,Regular medication adherence
Impetigo,Mupirocin; Cephalexin,Neem wash,Clean lesions; Avoid scratching
Jaundice,Ursodeoxycholic Acid; Vitamin supplements,Sugarcane juice; Coconut water; Rest,Hydration; Seek medical help
Malaria,Artemether-Lumefantrine; Chloroquine,Papaya leaf juice; Hydration,Control fever; Seek medical treatment
Migraine,Sumatriptan; Ibuprofen; Naproxen,Ginger tea; Rest in dark room,Cold compress; Avoid bright light
Osteoarthristis,Consult Doctor,Healthy diet,Seek medical help
Paralysis (brain hemorrhage),Mannitol; Nimodipine,Healthy diet; Physiotherapy,Call emergency; Keep patient stable
Peptic ulcer diseae,Consult Doctor,Healthy diet,Seek medical help
Pneumonia,Amoxicillin; Azithromycin; Levofloxacin,Warm fluids; Steam inhalation,Seek medical help; Oxygen support if severe
Psoriasis,Calcipotriol; Methotrexate,Aloe vera; Moisturizers,Keep skin moisturized
Tuberculosis,Isoniazid; Rifampicin; Pyrazinamide; Ethambutol,Nutritious diet; Rest,Medical supervision; Isolation initially
Typhoid,Ciprofloxacin; Azithromycin; Ceftriaxone,Boiled water; Light diet,Rest; Maintain hydration
Urinary tract infection,Nitrofurantoin; Ciprofloxacin,Cranberry juice; Hydration,Increase water intake
Varicose veins,Diosmin; Hesperidin,Leg elevation; Exercise,Compression stockings
hepatitis A,Consult Doctor,Healthy diet,Seek medical help
